City,State,ZIP,ZillowID,latitude,lontitude,sqft,Price,ZPrice,ZRent,Income,Poverty,Degree,CostofLiving,Age
San Francisco,CA,94109,2094905149,37.786981,-122.416802,,2395,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094918715,37.786113,-122.415754,,2095,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2102560867,37.799959,-122.418447,1490,6400,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094926026,37.789955,-122.425618,,2725,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094926972,37.78716,-122.41934,892,849000,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094926973,37.78716,-122.41934,1002,799000,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094928954,37.79291,-122.42241,989,1269000,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094928955,37.79291,-122.42241,600,829000,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2098884623,37.792569,-122.422249,1143,1625000,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15072080,37.797885,-122.42425,631,599000,645112,3400,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2103973586,37.79373,-122.42468,,2995,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094932855,37.79509,-122.41629,4540,1950000,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094941211,37.790292,-122.422967,636,4200,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094941209,37.790292,-122.422967,698,3795,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,96025480,37.787574,-122.419425,1198,1050000,1160317,4500,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2112018155,37.785896,-122.424449,2233,8800,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,63196335,37.791077,-122.414339,607,689000,730087,3495,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2138366050,37.794689,-122.425657,2000,9100,2299002,6787,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094951364,37.793075,-122.424924,,2695,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15068297,37.791537,-122.418539,1149,,1105121,4695,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,59779223,37.800457,-122.422949,927,,1053503,4210,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15070901,37.802211,-122.422067,2029,14495,3196160,8750,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2119405054,37.788688,-122.420303,514,3300,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2106042381,37.790058,-122.414851,642,4200,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2137718948,37.791564,-122.424607,967,,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2125993441,37.794665,-122.429717,2200,7495,2327219,7495,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094988537,37.795322,-122.426719,,9995,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15073640,37.794168,-122.426243,,,1124576,4500,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,51082380,37.805116,-122.421667,1000,,1570714,5490,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2095002245,37.793986,-122.42981,2200,7495,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2095005578,37.798824,-122.419265,,4285000,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2110878082,37.785019,-122.416854,,2195,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15068951,37.790348,-122.412568,,3500,639527,3500,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15065511,37.799981,-122.418644,1205,,1561340,5500,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15074834,37.790666,-122.424373,7885,7998000,8069387,24080,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2099080990,37.795278,-122.415157,955,4995,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2095025826,37.787158,-122.419334,982,749000,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2117084752,37.787158,-122.419334,1131,995000,1123266,3500,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2095030594,37.794652,-122.417558,850,4500,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2095030590,37.793727,-122.424709,,5500,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2095043708,37.801511,-122.423153,1150,7000,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2129203778,37.786986,-122.414661,750,4500,881859,4500,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2141498967,37.791955,-122.41612,1214,,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2104297745,37.785087,-122.420674,1256,4650,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15067810,37.793575,-122.417495,738,,4319661,9500,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2095086406,37.7932,-122.4208,,5495,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15069182,37.790075,-122.414729,390,455000,488586,2595,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15074862,37.790911,-122.423374,1456,1290000,1470397,4500,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15063314,37.805858,-122.421537,1401,,1834606,6000,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15074860,37.790911,-122.423374,1222,1150000,1233016,4500,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2095121026,37.794118,-122.41834,1665,6995,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2095779487,37.795536,-122.425067,,5300,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2124239277,37.799951,-122.422159,,2495,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,111710723,37.783241,-122.420478,1022,,862444,3900,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,64972118,37.783118,-122.426853,1200,4200,1094497,4300,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2095162882,37.788397,-122.425614,,2050,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2099759426,37.788631,-122.425617,750,2895,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,67394895,37.788839,-122.42127,1437,1395000,1418199,4895,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2096445115,37.792272,-122.422323,1293,1785000,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15073508,37.793443,-122.429062,2150,4950000,4811204,14350,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2096815165,37.789026,-122.417722,1400,3995,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15069123,37.789945,-122.412735,1010,,860669,3800,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2100434341,37.787753,-122.412522,,3200,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,80741576,37.803046,-122.421076,1224,1750000,1236137,4699,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15077033,37.78482,-122.423994,550,639900,638364,3000,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2102626852,37.800648,-122.421275,,3195,2634859,3150,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15076303,37.786361,-122.425831,1094,675000,860412,4150,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2102645109,37.79826,-122.41886,900,4995,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,63196537,37.805426,-122.424814,,650000,1209462,4500,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2096815163,37.789026,-122.417722,600,3495,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15075011,37.789305,-122.42523,1117,,547287,2675,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2101691039,37.793225,-122.414482,,3500,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15074186,37.791618,-122.422098,1091,998000,1171423,4500,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15073868,37.793519,-122.424316,573,,1588908,5500,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2112877129,37.794714,-122.422022,,4000,1226093,4500,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15067430,37.795023,-122.418909,1200,5000,1386054,4750,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2098098412,37.797411,-122.424145,711,3395,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15073015,37.7951,-122.42622,1129,,1244542,4600,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2098137700,37.793449,-122.421896,,2975,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15073607,37.79386,-122.425865,1013,,1969855,6500,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2095305551,37.792467,-122.418017,560,,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,123174955,37.788066,-122.418065,994,,1232382,4900,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2099992777,37.795492,-122.428126,900,4400,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15077004,37.78482,-122.423994,891,,760936,3400,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2104382539,37.789767,-122.415219,,1575,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15076220,37.786361,-122.425831,715,365000,434159,3300,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15071611,37.799539,-122.42152,953,790000,877036,3800,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,63196518,37.805426,-122.424814,,,1343532,4650,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15067778,37.793638,-122.415398,2060,3423000,3233179,7600,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2099910596,37.788876,-122.424317,3200,13000,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2103203149,37.79219,-122.42261,,3850,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15073816,37.793519,-122.424316,1000,849000,876452,3950,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15064668,37.80136,-122.419045,1663,,3367674,11000,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,63195996,37.803046,-122.421076,1849,,2961822,8832,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2095413306,37.787045,-122.415948,372,1995,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15068361,37.790995,-122.414995,1075,1059500,1054110,4500,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,51082381,37.805029,-122.419864,2153,6995,3448984,10246,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2095436841,37.789152,-122.41391,,2095,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2095453145,37.78352,-122.421355,,3995,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15067849,37.792576,-122.415725,3420,3500000,3602081,12500,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,68961223,37.80412,-122.419814,6305,12000000,11067514,33020,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15073130,37.79431,-122.42961,1660,5200,2037249,5689,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2095478808,37.789233,-122.42355,1485,2675000,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,69818928,37.789565,-122.426192,814,,2102164,6600,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,117672212,37.793213,-122.423744,956,5295,1147793,5200,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2095494692,37.788107,-122.423346,1076,1445000,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15064586,37.802352,-122.420572,2001,2675000,2684272,8009,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2099685910,37.792958,-122.425874,900,4600,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,124398004,37.792272,-122.422323,1231,1675000,1636107,5600,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15068299,37.791169,-122.418365,433,,1230424,4695,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15070994,37.800755,-122.42357,1218,,980558,4000,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15071633,37.798799,-122.424476,576,,4553623,8500,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15069097,37.789945,-122.412735,880,3800,824978,3800,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15067848,37.792373,-122.415343,487,,2606779,5950,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15073557,37.793825,-122.426135,932,,1364412,4675,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2095582428,37.79124,-122.425067,1500,4050,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,67447644,37.785087,-122.420677,1095,899000,954495,4195,66276,13.7,63.2,159.9,36.5
