ZillowID,latitude,longitude,sqft,Price,ZPrice,ZRent,Income,Poverty,Degree,CostofLiving,Age,lat_long,geometry,area,length,po_name,state,zip
80751029,37.780017,-122.402328,1157.0,799000.0,835346.0,3995.0,121167.0,12.0,69.2,152.0,37.0,"(37.780017000000001, -122.402328)",POINT (-122.402328 37.780017),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2100838276,37.762474,-122.398463,1600.0,6500.0,,,121167.0,12.0,69.2,152.0,37.0,"(37.762473999999997, -122.39846299999999)",POINT (-122.398463 37.762474),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2095046752,37.78124,-122.389918,785.0,998000.0,,,121167.0,12.0,69.2,152.0,37.0,"(37.781240000000004, -122.38991799999999)",POINT (-122.389918 37.78124),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
82786265,37.77898,-122.391769,1094.0,1295000.0,1239309.0,4500.0,121167.0,12.0,69.2,152.0,37.0,"(37.778979999999997, -122.391769)",POINT (-122.391769 37.77898),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2103262736,37.77029,-122.402805,916.0,3400.0,,,121167.0,12.0,69.2,152.0,37.0,"(37.770290000000003, -122.402805)",POINT (-122.402805 37.77029),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2094936103,37.783175,-122.390408,800.0,4000.0,,,121167.0,12.0,69.2,152.0,37.0,"(37.783175, -122.39040800000001)",POINT (-122.390408 37.783175),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
15147838,37.783184,-122.399084,1061.0,,1001433.0,4000.0,121167.0,12.0,69.2,152.0,37.0,"(37.783184000000006, -122.399084)",POINT (-122.399084 37.78318400000001),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
59700636,37.753512,-122.401046,1419.0,5500.0,1236172.0,5500.0,121167.0,12.0,69.2,152.0,37.0,"(37.753512000000001, -122.40104599999999)",POINT (-122.401046 37.753512),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
61288464,37.782575,-122.390364,1530.0,6500.0,1683641.0,6200.0,121167.0,12.0,69.2,152.0,37.0,"(37.782575000000001, -122.39036399999999)",POINT (-122.390364 37.782575),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2101016667,37.78318,-122.399082,811.0,3850.0,,,121167.0,12.0,69.2,152.0,37.0,"(37.783180000000002, -122.39908200000001)",POINT (-122.399082 37.78318),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2117635101,37.780639,-122.389637,1492.0,6300.0,1627400.0,6000.0,121167.0,12.0,69.2,152.0,37.0,"(37.780639000000001, -122.38963700000001)",POINT (-122.389637 37.780639),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
80732211,37.780767,-122.402142,1079.0,,876229.0,3712.0,121167.0,12.0,69.2,152.0,37.0,"(37.780766999999997, -122.402142)",POINT (-122.402142 37.780767),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
52149935,37.782575,-122.390364,1157.0,,1362217.0,4680.0,121167.0,12.0,69.2,152.0,37.0,"(37.782575000000001, -122.39036399999999)",POINT (-122.390364 37.782575),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2094974394,37.759442,-122.402718,,10000.0,,,121167.0,12.0,69.2,152.0,37.0,"(37.759442, -122.40271799999999)",POINT (-122.402718 37.759442),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
80734293,37.77853,-122.398017,869.0,,1548310.0,5495.0,121167.0,12.0,69.2,152.0,37.0,"(37.778529999999996, -122.398017)",POINT (-122.398017 37.77853),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
67394681,37.778904,-122.393325,903.0,,1057316.0,4295.0,121167.0,12.0,69.2,152.0,37.0,"(37.778903999999997, -122.393325)",POINT (-122.393325 37.778904),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
80750446,37.780064,-122.393173,971.0,,1131111.0,4500.0,121167.0,12.0,69.2,152.0,37.0,"(37.780064000000003, -122.393173)",POINT (-122.393173 37.780064),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
80733252,37.75482,-122.390408,,3800.0,1198274.0,4274.0,121167.0,12.0,69.2,152.0,37.0,"(37.754820000000002, -122.39040800000001)",POINT (-122.390408 37.75482),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2095002238,37.784713,-122.396873,,3295000.0,,,121167.0,12.0,69.2,152.0,37.0,"(37.784713000000004, -122.396873)",POINT (-122.396873 37.784713),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
15150714,37.759532,-122.397867,2500.0,8500.0,1956335.0,7195.0,121167.0,12.0,69.2,152.0,37.0,"(37.759532, -122.39786699999999)",POINT (-122.397867 37.759532),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
80737757,37.778163,-122.395774,2176.0,1849000.0,1847729.0,6500.0,121167.0,12.0,69.2,152.0,37.0,"(37.778162999999999, -122.395774)",POINT (-122.395774 37.778163),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2099921988,37.764402,-122.397011,525.0,2995.0,,,121167.0,12.0,69.2,152.0,37.0,"(37.764402000000004, -122.39701100000001)",POINT (-122.397011 37.764402),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2126249876,37.759685,-122.392982,864.0,,1706534.0,5750.0,121167.0,12.0,69.2,152.0,37.0,"(37.759684999999998, -122.392982)",POINT (-122.392982 37.759685),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
15150927,37.759687,-122.392985,1222.0,,1350044.0,4500.0,121167.0,12.0,69.2,152.0,37.0,"(37.759687, -122.39298500000001)",POINT (-122.392985 37.759687),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
111924540,37.78165,-122.399116,1599.0,,441540.0,2595.0,121167.0,12.0,69.2,152.0,37.0,"(37.781649999999999, -122.39911599999999)",POINT (-122.399116 37.78165),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2095015747,37.76264,-122.390009,1200.0,5395.0,,,121167.0,12.0,69.2,152.0,37.0,"(37.762640000000005, -122.39000900000001)",POINT (-122.390009 37.76264),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2105127958,37.783691,-122.393577,2255.0,1695000.0,1758484.0,5295.0,121167.0,12.0,69.2,152.0,37.0,"(37.783690999999997, -122.39357700000001)",POINT (-122.393577 37.783691),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
80732810,37.753164,-122.393373,890.0,3700.0,893978.0,3800.0,121167.0,12.0,69.2,152.0,37.0,"(37.753163999999998, -122.393373)",POINT (-122.393373 37.753164),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
15148947,37.764126,-122.395884,2919.0,2250000.0,2340664.0,5300.0,121167.0,12.0,69.2,152.0,37.0,"(37.764125999999997, -122.39588400000001)",POINT (-122.395884 37.764126),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2105290588,37.759685,-122.392982,1104.0,,,,121167.0,12.0,69.2,152.0,37.0,"(37.759684999999998, -122.392982)",POINT (-122.392982 37.759685),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2095030592,37.757448,-122.399948,,4900.0,,,121167.0,12.0,69.2,152.0,37.0,"(37.757447999999997, -122.39994799999999)",POINT (-122.399948 37.757448),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2095043386,37.781232,-122.389758,,4750.0,,,121167.0,12.0,69.2,152.0,37.0,"(37.781232000000003, -122.389758)",POINT (-122.389758 37.781232),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
59204063,37.780767,-122.402142,996.0,1098000.0,1012156.0,3995.0,121167.0,12.0,69.2,152.0,37.0,"(37.780766999999997, -122.402142)",POINT (-122.402142 37.780767),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
15150655,37.759548,-122.397521,1086.0,,1653994.0,5750.0,121167.0,12.0,69.2,152.0,37.0,"(37.759547999999995, -122.397521)",POINT (-122.397521 37.759548),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
79847118,37.77707,-122.39274,1038.0,,1052718.0,4000.0,121167.0,12.0,69.2,152.0,37.0,"(37.777070000000002, -122.39273999999999)",POINT (-122.39274 37.77707),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
60554633,37.78416,-122.396615,906.0,,931719.0,3900.0,121167.0,12.0,69.2,152.0,37.0,"(37.78416, -122.396615)",POINT (-122.396615 37.78416),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
79847595,37.757915,-122.395492,891.0,,1808560.0,5695.0,121167.0,12.0,69.2,152.0,37.0,"(37.757915000000004, -122.39549199999999)",POINT (-122.395492 37.757915),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2095549009,37.777806,-122.391745,1038.0,,,,121167.0,12.0,69.2,152.0,37.0,"(37.777805999999998, -122.391745)",POINT (-122.391745 37.777806),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2095539444,37.758197,-122.395355,891.0,,,,121167.0,12.0,69.2,152.0,37.0,"(37.758196999999996, -122.39535500000001)",POINT (-122.395355 37.758197),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
69819430,37.777645,-122.39343,1200.0,4500.0,1247345.0,4500.0,121167.0,12.0,69.2,152.0,37.0,"(37.777645, -122.39343000000001)",POINT (-122.39343 37.777645),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
69817645,37.7836,-122.390729,2903.0,4250000.0,4361588.0,13500.0,121167.0,12.0,69.2,152.0,37.0,"(37.7836, -122.39072900000001)",POINT (-122.390729 37.7836),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
15149728,37.760726,-122.397982,1014.0,,2226195.0,6800.0,121167.0,12.0,69.2,152.0,37.0,"(37.760725999999998, -122.39798200000001)",POINT (-122.397982 37.760726),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
80737224,37.777233,-122.395576,919.0,,1228579.0,4500.0,121167.0,12.0,69.2,152.0,37.0,"(37.777233000000003, -122.39557600000001)",POINT (-122.395576 37.777233),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
15152027,37.753905,-122.40202,1021.0,,586350.0,3500.0,121167.0,12.0,69.2,152.0,37.0,"(37.753904999999996, -122.40201999999999)",POINT (-122.40202 37.753905),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
80739698,37.763988,-122.389167,873.0,,1067726.0,4100.0,121167.0,12.0,69.2,152.0,37.0,"(37.763987999999998, -122.38916699999999)",POINT (-122.389167 37.763988),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
2139521541,37.760725,-122.397981,1014.0,,2258403.0,6670.0,121167.0,12.0,69.2,152.0,37.0,"(37.760725000000001, -122.397981)",POINT (-122.397981 37.760725),66294329.949,72456.4318386,SAN FRANCISCO,CA,94107
